Model,Test MAE,Test RMSE,Test R²
Linear Regression,58.28808336804308,97.06118872345326,0.31426160509595846
Random Forest,48.473018634839086,85.98008103143752,0.4619000459681125
Gradient Boosting,48.804676301910696,86.45558633835724,0.4559317586084156
